Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
26	Node12	2	dev=net(2)	InData	0.3264	0	0	0
26	Node12	2	dev=net(2)	OutData	2.3168	0.361144	2	0.300781
26	Node12	2	dev=net(2)	DropData	0	0	0	0
26	Node12	2	dev=net(2)	InSatisfiedInterests	2.3168	0	2	0
26	Node12	2	dev=net(2)	InTimedOutInterests	0	0	0	0
26	Node12	2	dev=net(2)	OutSatisfiedInterests	0.3264	0	0	0
26	Node12	2	dev=net(2)	OutTimedOutInterests	4.51936e-10	0	0	0
26	Node12	-1	all	SatisfiedInterests	2.6432	0	2	0
26	Node12	-1	all	TimedOutInterests	4.51936e-10	0	0	0
26	Node21	0	dev=net(0)	InInterests	2.3296	0	2	0
26	Node21	0	dev=net(0)	OutInterests	0.1664	0.0073125	0	0
26	Node21	0	dev=net(0)	DropInterests	1.4462e-13	0	0	0
26	Node21	0	dev=net(0)	InNacks	0	0	0	0
26	Node21	0	dev=net(0)	OutNacks	0	0	0	0
26	Node21	0	dev=net(0)	DropNacks	0	0	0	0
26	Node21	0	dev=net(0)	InData	0.1664	0	0	0
26	Node21	0	dev=net(0)	OutData	2.3168	0.361144	2	0.300781
26	Node21	0	dev=net(0)	DropData	0	0	0	0
26	Node21	0	dev=net(0)	InSatisfiedInterests	2.3168	0	2	0
26	Node21	0	dev=net(0)	InTimedOutInterests	4.51936e-10	0	0	0
26	Node21	0	dev=net(0)	OutSatisfiedInterests	0.1664	0	0	0
26	Node21	0	dev=net(0)	OutTimedOutInterests	4.51936e-10	0	0	0
26	Node21	1	dev=net(1)	InInterests	0.1664	0	0	0
26	Node21	1	dev=net(1)	OutInterests	2.3296	0.140556	2	0.107422
26	Node21	1	dev=net(1)	DropInterests	3.53999e-13	0	0	0
26	Node21	1	dev=net(1)	InNacks	0	0	0	0
26	Node21	1	dev=net(1)	OutNacks	0	0	0	0
26	Node21	1	dev=net(1)	DropNacks	0	0	0	0
26	Node21	1	dev=net(1)	InData	2.3168	0	2	0
26	Node21	1	dev=net(1)	OutData	0.1664	0.012025	0	0
26	Node21	1	dev=net(1)	DropData	0	0	0	0
26	Node21	1	dev=net(1)	InSatisfiedInterests	0.1664	0	0	0
26	Node21	1	dev=net(1)	InTimedOutInterests	4.51936e-10	0	0	0
26	Node21	1	dev=net(1)	OutSatisfiedInterests	2.3168	0	2	0
26	Node21	1	dev=net(1)	OutTimedOutInterests	0	0	0	0
26	Node21	-1	all	SatisfiedInterests	2.4832	0	2	0
26	Node21	-1	all	TimedOutInterests	4.51936e-10	0	0	0
26	Node22	0	dev=net(0)	InInterests	0.1664	0	0	0
26	Node22	0	dev=net(0)	OutInterests	2.3296	0.140556	2	0.107422
26	Node22	0	dev=net(0)	DropInterests	1.4462e-13	0	0	0
26	Node22	0	dev=net(0)	InNacks	0	0	0	0
26	Node22	0	dev=net(0)	OutNacks	0	0	0	0
26	Node22	0	dev=net(0)	DropNacks	0	0	0	0
26	Node22	0	dev=net(0)	InData	2.3168	0	2	0
26	Node22	0	dev=net(0)	OutData	0.1664	0.012025	0	0
26	Node22	0	dev=net(0)	DropData	0	0	0	0
26	Node22	0	dev=net(0)	InSatisfiedInterests	0.1664	0	0	0
26	Node22	0	dev=net(0)	InTimedOutInterests	4.51936e-10	0	0	0
26	Node22	0	dev=net(0)	OutSatisfiedInterests	2.3168	0	2	0
26	Node22	0	dev=net(0)	OutTimedOutInterests	4.51936e-10	0	0	0
26	Node22	1	dev=net(1)	InInterests	1.76	0	1	0
26	Node22	1	dev=net(1)	OutInterests	0.16	0.00703125	0	0
26	Node22	1	dev=net(1)	DropInterests	0	0	0	0
26	Node22	1	dev=net(1)	InNacks	0	0	0	0
26	Node22	1	dev=net(1)	OutNacks	0	0	0	0
26	Node22	1	dev=net(1)	DropNacks	0	0	0	0
26	Node22	1	dev=net(1)	InData	0.16	0	0	0
26	Node22	1	dev=net(1)	OutData	1.44	0.405625	1	0.291016
26	Node22	1	dev=net(1)	DropData	0	0	0	0
26	Node22	1	dev=net(1)	InSatisfiedInterests	1.44	0	1	0
26	Node22	1	dev=net(1)	InTimedOutInterests	4.51936e-10	0	0	0
26	Node22	1	dev=net(1)	OutSatisfiedInterests	0.16	0	0	0
26	Node22	1	dev=net(1)	OutTimedOutInterests	0	0	0	0
26	Node22	2	dev=local(2)	InInterests	2.4896	0	2	0
26	Node22	2	dev=local(2)	OutInterests	1.6064	0	1	0
26	Node22	2	dev=local(2)	DropInterests	0	0	0	0
