Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
30	Node24	0	dev=net(0)	InInterests	1	0
30	Node24	0	dev=net(0)	OutInterests	0	0
30	Node24	0	dev=net(0)	DropInterests	0	0
30	Node24	0	dev=net(0)	InNacks	0	0
30	Node24	0	dev=net(0)	OutNacks	0	0
30	Node24	0	dev=net(0)	DropNacks	0	0
30	Node24	0	dev=net(0)	InData	0	0
30	Node24	0	dev=net(0)	OutData	1	0.228516
30	Node24	0	dev=net(0)	DropData	0	0
30	Node24	1	dev=net(1)	InInterests	3	0
30	Node24	1	dev=net(1)	OutInterests	1	0.0439453
30	Node24	1	dev=net(1)	DropInterests	1	0
30	Node24	1	dev=net(1)	InNacks	0	0
30	Node24	1	dev=net(1)	OutNacks	0	0
30	Node24	1	dev=net(1)	DropNacks	0	0
30	Node24	1	dev=net(1)	InData	1	0
30	Node24	1	dev=net(1)	OutData	2	0.333984
30	Node24	1	dev=net(1)	DropData	0	0
30	Node24	2	dev=local(2)	InInterests	1	0
30	Node24	2	dev=local(2)	OutInterests	3	0
30	Node24	2	dev=local(2)	DropInterests	0	0
30	Node24	2	dev=local(2)	InNacks	0	0
30	Node24	2	dev=local(2)	OutNacks	0	0
30	Node24	2	dev=local(2)	DropNacks	0	0
30	Node24	2	dev=local(2)	InData	2	0
30	Node24	2	dev=local(2)	OutData	1	0
30	Node24	2	dev=local(2)	DropData	0	0
30	Node24	-1	all	SatisfiedInterests	3	0
30	Node24	-1	all	TimedOutInterests	0	0
31	Node11	0	dev=net(0)	InInterests	0	0
31	Node11	0	dev=net(0)	OutInterests	4	0.214844
31	Node11	0	dev=net(0)	DropInterests	0	0
31	Node11	0	dev=net(0)	InNacks	0	0
31	Node11	0	dev=net(0)	OutNacks	0	0
31	Node11	0	dev=net(0)	DropNacks	0	0
31	Node11	0	dev=net(0)	InData	4	0
31	Node11	0	dev=net(0)	OutData	0	0
31	Node11	0	dev=net(0)	DropData	0	0
31	Node11	2	dev=local(2)	InInterests	4	0
31	Node11	2	dev=local(2)	OutInterests	0	0
31	Node11	2	dev=local(2)	DropInterests	0	0
31	Node11	2	dev=local(2)	InNacks	0	0
31	Node11	2	dev=local(2)	OutNacks	0	0
31	Node11	2	dev=local(2)	DropNacks	0	0
31	Node11	2	dev=local(2)	InData	0	0
31	Node11	2	dev=local(2)	OutData	4	0
31	Node11	2	dev=local(2)	DropData	0	0
31	Node11	-1	all	SatisfiedInterests	4	0
31	Node11	-1	all	TimedOutInterests	0	0
